ID_poliza,ID_cliente,Tipo_seguro,Estado,Prima_anual,fecha_inicio,fecha_fin
1,11090,Hogar,Cancelada,-190.67,2021-12-31,2022-07-28
2,7500,Hogar,Activa,2129.3,2025-02-08,2025-12-29
3,11203,Auto,Activa,-1313.95,2025-05-22,2026-02-08
4,4784,Hogar,Activa,345.39,2024-03-06,2025-02-13
5,5604,Vida,Activa,-437.51,2024-05-15,2025-04-30
6,1233,Auto,Expirada,-899.94,2025-07-22,2026-03-06
7,11405,Vida,Activa,1378.59,2024-08-12,2025-07-09
8,11836,Hogar,Expirada,-1512.19,2022-11-19,2023-07-08
9,11384,Auto,Expirada,-501.58,2022-11-11,2023-07-24
10,6973,Salud,Pendiente,-108.69,2023-09-20,2024-08-13
11,414,Vida,Activa,-359.29,2025-01-30,2025-12-28
12,8218,Vida,Activa,503.89,2025-03-06,2026-01-27
13,380,Vida,Cancelada,-62.18,2023-02-06,2023-10-09
14,9122,Auto,Activa,-387.13,2024-03-03,2024-09-19
15,9796,Hogar,Activa,1072.32,2024-08-24,2025-09-25
16,11854,Hogar,Pendiente,10.88,2025-01-24,2025-12-11
17,816,Auto,Activa,617.21,2025-09-18,2026-10-18
18,10822,Hogar,Activa,-1399.57,2025-06-29,2026-06-02
19,11768,Hogar,Activa,-511.8,2024-07-27,2025-08-18
20,4553,Auto,Pendiente,-261.47,2024-11-27,2025-11-27
21,920,Salud,Activa,1414.42,2025-04-18,2025-12-01
22,7566,Hogar,Pendiente,825.17,2024-12-07,2025-09-02
23,845,Hogar,Cancelada,-1911.1,2025-07-25,2026-07-05
24,3688,Auto,Expirada,639.23,2022-04-28,2023-05-01
25,4441,Vida,Activa,2046.9,2025-04-04,2026-04-17
26,5592,Hogar,Activa,706.45,2022-05-23,2023-04-03
27,11170,Auto,Activa,-952.68,2025-08-14,2026-08-24
28,1687,Vida,Activa,-119.87,2023-07-11,2024-06-28
29,5587,Hogar,Activa,603.98,2024-01-03,2024-11-30
30,6209,Auto,Expirada,-723.47,2022-04-13,2023-01-02
31,9039,Salud,Activa,285.99,2023-11-21,2024-07-28
32,2810,Vida,Activa,1415.76,2025-01-08,2025-11-20
33,11625,Auto,Pendiente,640.38,2024-05-16,2025-02-09
34,10616,Vida,Activa,-435.01,2022-11-16,2023-12-18
35,5038,Auto,Activa,1579.13,2021-11-06,2022-08-03
36,4926,Auto,Activa,-983.21,2024-11-28,2025-12-21
37,3638,Auto,Pendiente,440.18,2021-11-16,2022-08-12
38,6544,Auto,Activa,-1490.08,2024-01-12,2024-12-14
39,7100,Hogar,Cancelada,-1068.78,2025-06-09,2026-07-05
40,8546,Vida,Activa,-616.73,2021-11-22,2022-07-22
41,4801,Auto,Expirada,743.81,2023-03-11,2023-12-31
42,3990,Auto,Pendiente,501.73,2024-01-03,2024-08-09
43,6914,Auto,Activa,-64.47,2024-02-13,2025-03-13
44,5425,Hogar,Cancelada,1139.16,2025-03-30,2025-10-28
45,1933,Hogar,Activa,143.65,2024-05-02,2025-02-06
46,11683,Auto,Activa,994.82,2024-05-26,2025-01-26
47,1557,Auto,Pendiente,1354.14,2025-07-11,2026-05-31
48,584,Auto,Activa,-609.36,2021-11-12,2022-08-28
49,1181,Hogar,Activa,-555.64,2023-03-21,2023-11-17
50,7406,Hogar,Expirada,-1468.22,2025-06-10,2026-01-16
51,7733,Hogar,Activa,57.42,2024-08-06,2025-04-13
52,11908,Vida,Cancelada,1539.75,2025-09-06,2026-06-01
53,3779,Hogar,Expirada,520.67,2023-12-22,2024-08-19
54,4467,Hogar,Activa,473.03,2021-12-28,2022-08-29
55,9067,Hogar,Activa,1105.08,2024-02-20,2024-12-10
56,9732,Auto,Activa,1670.27,2022-04-30,2023-01-17
57,8283,Salud,Activa,617.37,2022-12-14,2023-07-13
58,9326,Auto,Expirada,801.9,2021-11-18,2022-06-14
59,8570,Salud,Activa,68.6,2022-08-20,2023-05-04
60,6544,Vida,Activa,483.13,2022-09-26,2023-04-30
61,1719,Salud,Expirada,1082.19,2023-01-07,2024-02-06
62,8652,Auto,Activa,-412.3,2024-11-04,2025-10-02
63,7641,Auto,Activa,67.9,2025-05-20,2026-04-10
64,1052,Vida,Pendiente,-507.16,2021-12-03,2022-09-30
65,10300,Viaje,Pendiente,782.65,2023-04-06,2023-11-16
66,2036,Vida,Expirada,-21.4,2021-12-15,2022-09-28
67,10094,Hogar,Activa,482.67,2024-03-01,2024-11-13
68,6755,Vida,Expirada,-1864.65,2025-05-20,2026-01-10
69,7591,Auto,Pendiente,-1377.95,2024-12-19,2025-09-13
70,10821,Salud,Pendiente,946.3,2022-04-17,2023-02-24
71,7697,Auto,Activa,-732.14,2024-10-08,2025-06-07
72,7839,Auto,Activa,-881.88,2024-11-19,2025-06-18
73,11020,Vida,Activa,-768.85,2025-08-12,2026-08-02
74,100,Vida,Activa,300.22,2022-01-07,2023-01-13
75,7072,Hogar,Activa,-374.39,2023-04-04,2024-03-01
76,968,Auto,Activa,-341.57,2023-06-02,2024-05-22
77,5578,Auto,Activa,-539.45,2024-11-01,2025-07-02
78,11531,Vida,Activa,837.56,2022-10-03,2023-08-24
79,6555,Auto,Activa,-327.11,2023-04-08,2023-12-05
80,4870,Vida,Activa,-223.22,2024-07-17,2025-02-27
81,8375,Viaje,Expirada,-674.21,2024-01-08,2024-11-22
