id_siniestro,id_poliza,fecha_siniestro,tipo_siniestro,coste_siniestro
1,9650,2025-04-06,Accidente de tráfico,1089.24
2,11438,2023-03-15,Incendio,813.03
3,68,2025-07-25,Responsabilidad civil,1910.75
4,13518,2023-06-21,Daños por agua,1232.02
5,1749,2024-06-07,Accidente de tráfico,1655.55
6,13594,2023-04-10,Responsabilidad civil,581.9
7,10373,2025-05-24,Responsabilidad civil,24.16
8,4281,2023-10-11,Daños por agua,1307.57
9,5654,2024-05-27,Otros,727.32
10,10092,2025-03-04,Accidente de tráfico,807.09
11,14938,2023-03-26,Accidente de tráfico,1357.38
12,5934,2024-05-19,Daños por agua,1822.34
13,1530,2023-03-31,Daños por agua,1560.97
14,10874,2024-01-30,Otros,2518.24
15,3569,2023-03-24,Robo,1368.24
16,14441,2025-02-16,Accidente de tráfico,1327.93
17,14163,2024-05-23,Otros,1783.08
18,8663,2025-06-17,Incendio,1013.23
19,2513,2024-01-29,Robo,1451.26
20,4551,2023-01-21,Daños por agua,124.53
21,7893,2023-01-22,Robo,2349.01
22,14336,2024-02-19,Incendio,788.57
23,1385,2024-12-24,Otros,1426.6
24,4385,2025-05-22,Responsabilidad civil,2023.6
25,9606,2024-07-09,Otros,102.03
26,13131,2024-03-28,Accidente de tráfico,1361.53
27,867,2024-08-30,Accidente de tráfico,733.4
28,5716,2022-11-06,Daños por agua,2038.44
29,5353,2025-02-28,Accidente de tráfico,1822.36
30,8355,2023-11-17,Daños por agua,586.49
31,2183,2024-06-16,Daños por agua,1972.13
32,346,2025-03-17,Daños por agua,1528.9
33,12446,2024-05-20,Responsabilidad civil,477.47
34,2967,2023-12-19,Accidente de tráfico,1426.31
35,8759,2025-08-31,Incendio,56.77
36,7301,2023-12-21,Accidente de tráfico,1399.78
37,145,2025-05-10,Robo,1313.66
38,11983,2024-02-24,Robo,2406.68
39,418,2024-06-02,Daños por agua,2215.84
40,8752,2025-10-18,Robo,1819.59
41,10750,2025-03-22,Otros,2111.65
42,12319,2024-10-19,Responsabilidad civil,1034.62
43,12163,2024-10-12,Daños por agua,1755.42
44,7891,2024-05-07,Responsabilidad civil,891.65
45,2014,2024-05-19,Accidente de tráfico,1386.01
46,1601,2024-08-20,Otros,835.99
47,12310,2023-02-05,Incendio,1394.3
48,8901,2023-07-01,Accidente de tráfico,1488.88
49,1246,2023-11-11,Robo,1489.67
50,3833,2024-01-21,Accidente de tráfico,1766.3
51,7920,2022-11-20,Responsabilidad civil,185.41
52,1858,2023-01-03,Robo,205.19
53,3109,2023-03-01,Responsabilidad civil,1593.4
54,6832,2025-10-12,Accidente de tráfico,1227.76
55,4148,2024-03-17,Robo,783.82
56,13234,2023-05-20,Accidente de tráfico,506.72
57,1757,2023-07-29,Daños por agua,151.42
58,12284,2025-06-02,Responsabilidad civil,803.07
59,11727,2022-12-04,Accidente de tráfico,1030.25
60,8250,2024-01-24,Accidente de tráfico,370.47
61,5049,2022-12-03,Incendio,59.1
62,13951,2025-06-27,Accidente de tráfico,309.72
63,10250,2023-03-13,Accidente de tráfico,1525.05
64,4603,2024-05-02,Otros,2727.16
65,7676,2022-12-03,Robo,1601.38
66,13524,2024-11-12,Daños por agua,295.18
67,7454,2024-08-23,Daños por agua,203.6
68,10597,2023-07-08,Responsabilidad civil,653.73
69,9450,2025-05-04,Robo,1377.56
70,14616,2023-12-18,Accidente de tráfico,275.74
71,3264,2023-07-17,Robo,1306.86
72,14382,2022-11-30,Daños por agua,8.78
73,10756,2023-03-26,Accidente de tráfico,2061.27
74,12679,2023-06-11,Daños por agua,1996.68
75,13082,2023-04-12,Robo,2571.5
76,4512,2024-10-07,Accidente de tráfico,1281.85
77,8233,2023-05-25,Daños por agua,1209.38
78,12573,2023-08-09,Robo,1073.2
79,9904,2022-12-29,Otros,1562.42
80,7667,2025-05-01,Robo,1337.84
81,14696,2024-02-03,Accidente de tráfico,1034.52
82,1759,2023-10-05,Daños por agua,2074.09
83,7960,2023-11-26,Otros,1906.04
84,13283,2023-07-22,Daños por agua,181.99
85,7715,2023-08-12,Accidente de tráfico,1497.56
86,5188,2022-12-01,Daños por agua,1896.8
87,10380,2025-01-06,Otros,826.9
88,4168,2023-05-26,Otros,999.29
89,10133,2024-01-29,Daños por agua,1567.29
90,12467,2023-03-05,Robo,1319.53
91,8745,2025-09-04,Accidente de tráfico,1345.06
92,2957,2025-05-12,Responsabilidad civil,1636.61
93,2475,2025-02-21,Daños por agua,1263.34
94,5691,2025-08-06,Robo,966.58
95,8581,2024-05-05,Robo,1024.58
96,3916,2024-10-13,Accidente de tráfico,633.32
97,9995,2024-10-01,Accidente de tráfico,693.14
98,38,2024-12-28,Robo,725.13
99,722,2024-10-31,Responsabilidad civil,555.05
